Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi,Lokasi_encoded
1100000000,2,1,1,72,44,Sawangan,2214365602.382716
1150000000,3,2,1,70,80,Sukmajaya,2087578294.174668
3250000000,4,4,1,200,150,Margonda,4941167236.464388
3000000000,3,3,2,300,215,Cinere,4541094465.716549
4500000000,5,3,2,448,256,Cinere,4909606244.598561
1400000000,3,2,2,132,100,Sawangan,1658701541.0946062
1250000000,1,2,1,98,72,Tapos,2062443999.998261
2000000000,3,2,1,72,89,Cibubur,2981969911.4970503
125000000,3,3,2,81,120,Cilodong,1618993457.942226
1300000000,6,4,2,200,180,Tapos,1956323999.998261
675000000,2,1,1,84,56,Cilangkap,1005975308.6419752
3600000000,4,4,2,200,200,Cinere,4541094465.716549
2100000000,3,3,1,208,150,Cinere,4680491988.075328
1600000000,5,2,1,102,200,Cinere,4680491988.075328
1850000000,3,3,0,124,187,Cinere,4778631550.604929
875000000,3,2,1,112,80,Cimanggis,2433828383.0610685
895000000,4,2,1,105,110,Cilodong,1618993457.942226
625000000,2,1,0,89,55,Depok II,2559463360.8815427
525000000,4,4,0,150,120,Cipayung,695944364.5083933
3300000000,4,4,3,182,200,Cinere,4852868864.173362
1140000000,3,2,2,84,85,Sawangan,1955035704.9314709
520000000,2,1,1,60,40,Pasir Putih,633453846.1538461
3700000000,4,4,2,205,250,Cinere,4778631550.604929
1900000000,2,3,1,160,125,Sawangan,2233344847.4117646
1620000000,3,3,1,114,185,Cinere,4541094465.716549
3200000000,3,3,2,620,250,Cinere,4778631550.604929
685000000,2,1,1,83,70,Sawangan,2233344847.4117646
929000000,3,2,1,50,61,Beji,3879711604.646512
1450000000,4,2,1,171,250,Sukmajaya,2087985421.0505264
850000000,3,2,1,139,123,Cinere,4680491988.075328
1370000000,2,2,1,72,85,Sawangan,1658701541.0946062
3490000000,3,3,3,153,165,Cimanggis,2433828383.0610685
802000000,2,1,1,60,37,Sawangan,1955035704.9314709
2500000000,3,4,2,128,185,Gandul,3076381937.172775
4900000000,3,2,1,280,400,Cinere,4909606244.598561
3750000000,4,2,2,719,250,Depok I,2267178620.197724
4500000000,4,4,4,500,420,Cinere,4541094465.716549
697000000,2,1,0,60,38,Cilodong,1625010649.3489175
1080000000,3,3,2,64,100,Cinere,4541094465.716549
1980000000,3,2,0,111,88,Harjamukti,2718385205.473973
1350000000,3,3,2,90,100,Sawangan,2233344847.4117646
3200000000,3,1,0,178,156,Cinere,4909606244.598561
2350000000,3,2,1,200,150,Cinere,4852868864.173362
285000000,2,1,1,55,40,Sawangan,1658701541.0946062
2750000000,5,3,2,253,400,Cinere,4680491988.075328
700000000,2,1,1,96,53,Sawangan,1955035704.9314709
2500000000,3,2,1,230,242,Cinere,4852868864.173362
675000000,2,2,1,65,68,Cimanggis,2546075969.094804
1600000000,3,2,1,140,100,Limo,2165110767.227568
2900000000,4,4,0,180,250,Cinere,4852868864.173362
1980000000,5,2,2,248,290,Depok I,2267178620.197724
2200000000,5,3,2,143,200,Depok I,2247611838.7553043
3500000000,3,3,0,375,225,Cinere,4778631550.604929
2000000000,4,4,1,128,130,Harjamukti,2656676737.1540785
